step,v_delta,desired_v,current_v,omega_delta,desired_omega,current_omega
800,0.14596974849700928,1.4313122034072876,1.2849931716918945,1.7821801520767622e-05,0.0,-1.7821801520767622e-05
1600,0.19069457054138184,1.6075695753097534,1.4173129796981812,1.3982847121951636e-05,0.0,-1.3982847121951636e-05
2400,0.13130222260951996,1.3894166946411133,1.2576836347579956,1.9236118532717228e-05,0.0,-1.9236118532717228e-05
3200,0.15601719915866852,1.5027114152908325,1.3465698957443237,1.51217691382044e-05,0.0,-1.51217691382044e-05
4000,0.15793432295322418,1.524019479751587,1.3664799928665161,1.5103126315807458e-05,0.0,-1.5103126315807458e-05
4800,0.14754638075828552,1.4396886825561523,1.2920180559158325,1.6155630873981863e-05,0.0,-1.6155630873981863e-05
5600,0.19403809309005737,1.6233285665512085,1.4287029504776,1.3494274753611535e-05,0.0,-1.3494274753611535e-05
6400,0.17821849882602692,1.556982398033142,1.3794019222259521,1.3651030712935608e-05,0.0,-1.3651030712935608e-05
7200,0.16771738231182098,1.5425574779510498,1.3740975856781006,1.4301422197604552e-05,0.0,-1.4301422197604552e-05
8000,0.25604116916656494,1.801282286643982,1.5451139211654663,1.2731074093608186e-05,0.0,-1.2731074093608186e-05
8800,0.1922132819890976,1.5978853702545166,1.4064902067184448,1.6429579773102887e-05,0.0,-1.6429579773102887e-05
9600,0.1437205821275711,1.4418421983718872,1.2977601289749146,1.442558550479589e-05,0.0,-1.442558550479589e-05
10400,0.13366422057151794,1.3645353317260742,1.230418086051941,1.8479537175153382e-05,0.0,-1.8479537175153382e-05
11200,0.16929352283477783,1.4764647483825684,1.3073080778121948,1.7022963220370002e-05,0.0,-1.7022963220370002e-05
12000,0.15397892892360687,1.4201761484146118,1.2667425870895386,2.294436671945732e-05,0.0,-2.294436671945732e-05
12800,0.19915026426315308,1.646425485610962,1.4472017288208008,1.5300989616662264e-05,0.0,-1.5300989616662264e-05
13600,0.19048453867435455,1.6007081270217896,1.4099162817001343,1.4721609659318347e-05,0.0,-1.4721609659318347e-05
14400,0.12627017498016357,1.330857515335083,1.2048866748809814,1.8804908904712647e-05,0.0,-1.8804908904712647e-05
